Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	339	280	135	0.0486484511286	0.403537748415	0.0516735977075	0.000498670097736	0.00165028007525	-2.57551178526e-05	0.680443328614	0.0199264745058	121.788486929	130.422762081	122.574069184	89.0996873604	99.165430996	95.9514962037	120.0	129.0	122.0	85.0	96.0	94.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
2	1	481	283	135	0.0541732845672	0.40790665459	0.0541659827817	0.000516221909977	0.00187817476008	-1.35752170181e-05	0.832250289131	0.0181149768235	121.209117032	131.24177116	124.318965517	87.7189777738	99.5996580581	97.6831638621	121.0	131.0	124.0	87.0	99.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
3	1	612	280	135	0.0568165875755	0.389951515797	0.0575913177647	0.000573127353863	0.00232296982195	-2.034938471e-05	0.429041822868	0.0246683360861	130.461675092	139.848613199	130.827708703	90.9988646288	103.34349345	101.109257642	130.0	140.0	131.0	90.0	102.0	100.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
4	1	746	275	135	0.0472194384235	0.374340668123	0.0479090734741	0.00049927232309	0.00171566064493	-1.98357385973e-05	0.386422331264	0.0254675262401	127.568886991	138.219897523	129.87432394	93.2659456698	106.187601124	104.15081325	127.0	138.0	130.0	91.0	104.0	103.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
5	1	883	279	135	0.0652410645666	0.442911183334	0.0658796909423	0.00058865430041	0.00209712261334	-2.32880873015e-05	0.398499446553	0.0272790239224	134.167448575	144.890292313	134.970528089	92.6869739862	106.606924254	104.334257842	135.0	146.0	136.0	91.0	105.0	103.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
6	1	1020	275	135	0.0389500725058	0.325376951356	0.0397725228362	0.000468303528797	0.00150660721605	-2.31312681412e-05	0.499419677621	0.0208855026906	126.009988538	138.565416735	129.858686753	92.6671142	107.352708893	105.058363608	126.0	138.0	130.0	91.0	106.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
7	1	1150	279	135	0.0639141677449	0.433107784112	0.064689159597	0.000595491057446	0.00207418792352	-2.24215022762e-05	0.493428458998	0.0242421013373	133.993357116	145.646204945	134.74105056	93.2609962406	108.094830827	105.014661654	135.0	147.0	136.0	91.0	106.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
8	1	1289	274	135	0.0523840025717	0.389738398423	0.0520215855384	0.000521535761855	0.00191291223701	-1.73632370187e-05	0.373646433744	0.0264265544248	130.165960355	142.49213944	132.38961039	95.1224899598	109.873144753	106.113410162	130.0	143.0	133.0	93.0	107.0	105.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
9	1	1422	273	135	0.0607642246746	0.422931429485	0.060853960596	0.000584720759693	0.00161083771747	-1.87327006539e-05	0.72083369419	0.0198199158186	133.253968254	145.395439657	134.052910053	95.5772320192	110.041639738	106.213738344	134.0	147.0	135.0	92.0	107.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
10	1	1560	271	135	0.0370736275235	0.317225211785	0.0373900493835	0.000446940420243	0.00163210039205	-2.23926636069e-05	0.570954569747	0.0192871223827	125.141081626	138.416694659	128.593550554	94.8664845884	109.559110417	105.79781506	124.0	138.0	128.0	93.0	107.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
11	1	1694	275	135	0.0685241273863	0.457296606106	0.0697250403647	0.000609594121755	0.00186337963604	-2.59961706086e-05	0.86068146911	0.0188608876339	136.051730164	147.743562857	135.161481999	94.4805615551	109.08148439	104.867857844	137.0	149.0	136.0	92.0	107.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
12	1	1846	269	135	0.0500560619026	0.366029090522	0.0506642656723	0.000542790045725	0.00212081880763	-2.04829429686e-05	0.536880778855	0.021365016783	131.369577875	143.542503639	131.884716157	96.4682746449	110.802924616	106.250693336	132.0	145.0	133.0	94.0	109.0	105.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
13	1	1976	279	135	0.0754718826021	0.469657413821	0.0751352127069	0.000646047920452	0.00180898028036	-1.19013298847e-05	1.23080618851	0.0159838030795	139.668065797	150.522064663	136.811798071	93.6824392204	108.620956399	104.029033554	142.0	152.0	138.0	91.0	106.0	102.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
14	1	2114	279	135	0.0338832509203	0.300815173957	0.0344763088802	0.00044031360389	0.00130787825902	-2.08800866357e-05	0.832118226786	0.0155575683308	124.329613886	137.425965285	127.589443854	91.35182504	106.4854073	102.800502934	124.0	137.0	127.0	88.0	104.0	101.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
15	1	2252	272	135	0.0678746297924	0.433054504769	0.0700570867138	0.000657146231301	0.00210777922633	-3.07548337272e-05	0.388113570951	0.027332303266	137.810285433	148.99667815	136.024114173	94.1948125176	108.395451555	104.271872944	139.0	151.0	137.0	91.0	106.0	103.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
16	1	2384	279	135	0.0481877226579	0.353987958868	0.0488809978207	0.00052245110005	0.00237647045956	-2.23698402397e-05	0.396290915468	0.0244552187117	130.347230584	142.638621312	131.814268513	92.282556701	106.971298969	103.408329897	130.0	143.0	132.0	90.0	105.0	102.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
17	1	2517	269	135	0.0686352931704	0.44802600032	0.070191102419	0.000622896314307	0.00205184324888	-2.71825206061e-05	0.566221978396	0.0230166764345	136.800570817	148.105838982	136.408371982	95.4867760618	109.357625483	105.663803089	138.0	149.0	137.0	93.0	107.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
18	1	2659	270	135	0.0482341338583	0.363684799403	0.0484085506182	0.000504188783501	0.00228703139085	-1.80368364209e-05	0.358722344811	0.0260535990197	128.412979783	140.634046294	131.136976267	94.7837226827	108.789332663	105.280080382	128.0	141.0	131.0	92.0	106.0	104.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
19	1	2798	272	135	0.0727438804866	0.457136768075	0.0737369707949	0.000631256870941	0.00258267752638	-2.25403094713e-05	0.394179263885	0.027865096702	136.872261072	147.663053613	136.695104895	93.465502012	107.034743351	103.883698106	138.0	149.0	138.0	90.0	105.0	102.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
20	1	2934	279	135	0.0481194403236	0.347700996324	0.0496275774458	0.000572630338715	0.0020681358688	-2.29337217856e-05	0.320299233816	0.0269593478608	129.251455716	140.644345694	131.454183267	90.013232051	103.547823246	101.243486074	129.0	141.0	132.0	87.0	101.0	100.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
21	1	3064	271	135	0.0794895393482	0.461292556876	0.0796255307454	0.000698919961332	0.0025312282755	-1.79491398692e-05	0.460632850595	0.0258937609889	135.341418341	145.136636637	134.278701779	92.4721590347	104.484521808	101.003263772	137.0	147.0	135.0	90.0	103.0	100.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
22	1	3205	279	135	0.0461195652784	0.340561564282	0.0446521110004	0.00049562096792	0.00214708567061	-8.43096595506e-06	0.473208130873	0.0219510895626	120.192428035	130.827753442	123.070713392	86.4117314373	98.6130726347	96.2336592066	120.0	131.0	123.0	85.0	97.0	95.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
23	1	3332	271	135	0.0757646086011	0.454419521551	0.0760205177744	0.000677553459728	0.00233252908566	-1.70641675299e-05	1.18297342159	0.0160370824231	127.158049009	136.558916637	127.031773948	88.2584960937	98.5458984375	95.0602539062	129.0	138.0	128.0	85.0	96.0	93.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
24	1	3487	279	135	0.0276705758094	0.300921732644	0.0315980378708	0.000401322720433	0.00101253448969	-3.09858853944e-05	1.72231457279	0.0108157067505	116.550637394	125.75371813	118.401735127	91.0337626705	100.317430074	96.5044585016	114.0	124.0	117.0	86.0	96.0	93.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
1	2	331	412	135	0.0718726152794	0.467899195482	0.0721964038586	0.000607470814085	0.00226449334755	-2.0503018629e-05	1.45927757667	0.0146518194896	121.225005693	130.923252107	122.596902756	81.1792330029	93.3457494743	91.7938319816	121.0	131.0	123.0	81.0	92.0	91.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
2	2	477	405	135	0.0459111208359	0.311044807928	0.0433149572286	0.000536334911376	0.00261081317671	3.7517238438e-06	0.10623604815	0.0442751345303	120.031517643	130.577423775	122.330935252	83.0356507617	96.5745881989	95.1204083211	119.0	130.0	122.0	83.0	96.0	95.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
3	2	611	412	135	0.0920071829019	0.475837817678	0.089228168467	0.000767499323893	0.00297330523201	9.09496552139e-06	0.178920288677	0.04219724013	137.754562759	146.281603404	134.12775725	85.9062817646	99.7413092092	97.518194755	139.0	148.0	135.0	85.0	99.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
4	2	746	402	135	0.0385294170056	0.284138739411	0.0363646293577	0.000493249165763	0.00201549265802	-1.04797216453e-06	0.134835178284	0.0375619372369	122.096381024	133.778361148	125.504219014	86.3223429592	101.009303364	99.4917386127	121.0	133.0	125.0	85.0	100.0	99.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
5	2	878	412	135	0.0696451295457	0.420746976397	0.0674483032246	0.000642858498621	0.00264115938205	-1.34279680137e-07	0.201371394594	0.0374020992061	132.090414081	143.420159554	132.110421679	86.5187637969	102.085632818	99.8853016924	133.0	144.0	133.0	85.0	101.0	100.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
6	2	1012	412	135	0.0477670715075	0.343172252118	0.0454960765116	0.000505004885688	0.00236099549408	-3.03818224855e-06	0.164712715536	0.0373488198625	123.720540289	136.780003105	127.218444341	86.3058890331	102.573815704	100.311486048	123.0	136.0	127.0	85.0	102.0	100.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
7	2	1154	412	135	0.0690183825644	0.408812403431	0.0669357039331	0.000676313887435	0.00251175169028	-2.66141181651e-06	0.209139234307	0.0361766743034	133.351622573	145.344845562	132.70168122	86.3767123288	102.777667628	99.9932408075	135.0	148.0	134.0	85.0	102.0	100.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
8	2	1294	412	135	0.0497556064776	0.347541158293	0.0477206928771	0.000539771798039	0.0020901555584	-7.00733424197e-06	0.169214963002	0.0370824231445	124.685727426	138.033726813	127.208493025	85.5798628123	102.384043769	99.6061571125	125.0	138.0	127.0	84.0	101.0	99.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
9	2	1425	411	135	0.0863556161793	0.473333688529	0.0851452214603	0.000714250199959	0.00287325557459	-5.4599070116e-06	0.144490955745	0.0468325430231	137.140702386	148.333971184	134.383160738	84.826707132	101.743449671	98.813353566	137.0	149.0	135.0	84.0	101.0	99.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
10	2	1565	412	135	0.0500639951048	0.33890990463	0.0486770185527	0.000552626972289	0.0026428032592	-9.57134184716e-06	0.16548767347	0.0370291438009	124.851752869	138.147775507	126.532935073	84.3057704707	101.037072856	98.15224049	124.0	138.0	126.0	83.0	100.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
11	2	1704	412	135	0.0861151749699	0.473173850498	0.0852842431965	0.000734364547185	0.00269692504386	-1.05964027603e-05	0.362314544034	0.0295700356972	135.696430582	147.235221259	132.579214052	84.1750606796	101.035295307	98.1034587379	137.0	149.0	134.0	83.0	100.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
12	2	1839	409	135	0.0505105962753	0.365602855773	0.0483550443543	0.000506717560114	0.00212339077747	-6.45262320968e-06	0.326388117745	0.0273855826096	121.909647333	135.831244535	124.223695716	84.6797682036	101.652137398	98.3057025279	121.0	135.0	124.0	83.0	100.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
13	2	1968	403	135	0.0752399109537	0.433427460174	0.0737709085177	0.000682110686931	0.00321991745546	-5.7052032541e-06	0.109777363095	0.0514145665725	132.440442532	144.658881377	130.732145052	84.3944893737	101.117077299	97.6730299041	133.0	146.0	131.0	83.0	100.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
14	2	2114	403	135	0.0524649947227	0.347594437637	0.0518990851155	0.000588546205585	0.00257262077628	-1.10311407352e-05	0.139722477296	0.0408119771964	125.214898835	138.230226855	126.294144697	82.9814618212	99.7230706411	97.1545937117	125.0	139.0	127.0	82.0	99.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
15	2	2249	412	135	0.0903997768564	0.467526240077	0.0887231751521	0.000775171211931	0.00346681463534	-1.92552581625e-06	0.0990722599591	0.0562097074964	137.387806268	148.462564103	133.977435897	83.8606163698	100.179307585	97.1095657394	139.0	151.0	135.0	83.0	99.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
16	2	2385	412	135	0.0481020213428	0.33224998668	0.0473410552093	0.000553832509227	0.00257456080057	-1.04285829218e-05	0.167986570211	0.0363897916778	123.331302117	136.620269403	125.741019885	83.1796058406	99.9228436927	97.5735258916	123.0	136.0	126.0	82.0	99.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
17	2	2526	407	135	0.0812769940469	0.451808833715	0.0794561015066	0.000709989624169	0.00274689929939	-4.080089922e-07	0.123208258538	0.0495497895466	133.299292453	145.214504717	132.071462264	83.9816308679	100.451938964	97.9163183983	134.5	147.0	133.0	83.0	100.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
18	2	2659	412	135	0.0572103844899	0.339123022004	0.0533205612952	0.000624286739881	0.00307880438073	8.33069127683e-06	0.0787203847006	0.0537055783473	127.067399843	139.630164965	128.84069128	84.0610287004	100.349080942	98.1166559174	127.0	140.0	129.0	83.0	99.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
19	2	2798	412	135	0.0786187654049	0.436304544728	0.0756357979812	0.000688352031339	0.00349527776051	6.91137765748e-06	0.128467911689	0.0476850125206	130.986078886	142.575894493	130.98107217	83.4744801512	99.4736294896	97.3864839319	131.0	143.0	132.0	83.0	99.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
20	2	2934	412	135	0.0551125266881	0.346102616016	0.0532293217835	0.000616549592376	0.00267084088337	-4.80950129032e-06	0.0620481795966	0.0611114071075	124.39932266	136.837284483	127.100061576	82.124012059	98.012140471	96.4733968875	125.0	138.0	128.0	81.0	97.0	96.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
21	2	3066	412	135	0.101989039564	0.483243646438	0.0983146411527	0.000836782828449	0.00350078236532	1.29691140171e-05	0.103380482061	0.0559433107784	136.338809261	146.136714443	133.974751929	82.059696876	97.0722754923	95.3645736674	138.0	149.0	136.0	81.0	96.0	95.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
22	2	3205	412	135	0.0702298328195	0.404017262507	0.0666051042556	0.000651323984188	0.00342976628977	5.8814151826e-06	0.0586179397885	0.0679311630881	121.506791507	132.467493077	123.397995516	79.3258537458	93.6523332737	92.4548542821	122.0	133.0	124.0	78.0	93.0	92.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
23	2	3342	412	135	0.0963307208794	0.456071181203	0.0925026659498	0.000827910927481	0.00391899794271	1.12836228017e-05	0.078849318337	0.062230273323	127.983761682	137.535747664	126.581308411	77.6507983152	91.0387893036	89.7223038495	130.0	140.0	128.0	76.0	90.0	89.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
24	2	3482	412	135	0.0500391030438	0.377963663488	0.0506617353234	0.000516694527436	0.00199157652066	-2.7848211828e-05	0.29577152411	0.0292503596356	110.556385678	121.730758387	114.828869467	78.1939186296	90.2943897216	88.7448394004	110.0	121.0	115.0	78.0	90.0	88.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
1	3	338	551	135	0.0795190602269	0.451169481592	0.0785486925196	0.000707447848601	0.00305026226856	-1.19866055897e-05	0.151893712628	0.0445948105919	127.413438829	136.340222012	126.00649504	81.9179691292	94.0613532667	92.4481118338	129.0	138.0	127.0	81.0	93.0	92.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
2	3	477	551	135	0.0671140189248	0.371250466194	0.0645570618618	0.000696702494714	0.00336686663209	-6.04315794085e-08	0.0924894773909	0.0518408013213	131.324483352	139.949626866	128.38978186	83.8151004152	97.054063215	95.1381238878	132.0	141.0	129.0	83.0	96.0	95.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
3	3	612	559	135	0.0772970861914	0.430390537589	0.0757177868923	0.000708554902764	0.00341110632654	-4.5826142713e-06	0.0922492271661	0.0558900314348	134.634686804	143.511017579	131.400222827	84.8784959312	98.9703488916	96.8809278833	136.0	145.0	132.0	84.0	98.0	97.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
4	3	739	560	135	0.0567253367611	0.3583035857	0.054898599767	0.000608579092339	0.00252763210694	-5.30635232627e-06	0.0968742604872	0.049762906921	129.214423792	140.168773234	129.103197026	85.7845400199	100.645964796	98.4151444703	129.0	141.0	130.0	85.0	100.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
5	3	883	551	135	0.085507378559	0.480366561884	0.0838918251373	0.000706420532803	0.00271679478026	-2.08841643685e-06	0.126335036177	0.0504555383878	136.613797693	147.031166815	133.668145519	86.0171229365	101.638265149	99.1509279196	138.0	149.0	135.0	85.0	101.0	99.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
6	3	1020	545	135	0.0693245471524	0.416378070222	0.0674867033949	0.000647368152411	0.00261435391099	-2.73819668004e-06	0.126815839813	0.0468858223667	132.879846449	144.324504159	131.251439539	85.9223114844	102.214807376	99.2956910718	134.0	145.0	132.0	85.0	101.0	99.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
7	3	1158	545	135	0.0798293704962	0.445202195109	0.0785046671693	0.00071590979946	0.00321932307567	-2.95485376296e-06	0.173479875321	0.0414513293196	137.071924366	148.061991383	133.503709909	85.4253337175	102.068184001	98.7098818784	139.0	150.0	135.0	84.0	101.0	98.0	DLR00012709	DLR00012709-2009-07-02_17-31-36
