Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	335	275	135	-0.000492483230304	0.0613245244819	0.00346049203735	0.000171254228559	0.00143162465333	-8.3763169013e-06	0.0188916147946	0.0466194256487	153.304083406	152.776715899	128.087749783	89.1811783403	99.301282779	95.8385741855	156.0	159.0	130.0	87.0	97.0	94.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
2	1	470	278	135	-0.000143934813349	0.00889765038095	0.000269187977666	0.000108794269874	0.000137261454096	-1.53021966087e-06	0.0761570580853	0.00884437103735	112.149700599	119.526946108	112.868263473	86.5988065799	99.0881625632	96.8783464144	118.0	124.0	116.0	84.0	97.0	96.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
3	1	613	278	135	-0.000257900877692	0.000586072779583	1.13540451125e-05	6.99134079501e-05	1.07872764975e-05	-9.28449214922e-07	0.0110196170885	0.00596728648303	108.454545455	116.636363636	110.090909091	89.1611045954	102.669154494	100.648203433	116.0	123.0	112.0	86.0	100.0	99.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
4	1	736	276	135	0.000156509554536	0.013799349992	0.000505624255166	0.00013612772431	0.000196049970064	-1.46598035985e-06	0.226020138133	0.00639352123182	120.181467181	133.138996139	127.104247104	89.8276066991	104.385791464	102.762452728	122.0	135.0	128.0	87.0	102.0	101.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
5	1	884	281	135	-0.000227278027881	0.00181149768235	6.34014679992e-05	0.00010634098097	0.000227196097889	-1.35854761158e-06	8.71952246711	0.000372955405189	96.0882352941	110.882352941	108.323529412	88.9558046437	104.634267414	102.988043768	93.5	109.0	107.0	86.0	103.0	102.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
6	1	1016	275	135	0.000153874963461	0.00948372316053	0.000411870147562	0.000187661781941	0.000176039452323	-1.30429463711e-06	0.126452256733	0.0070861526986	125.904494382	134.54494382	124.325842697	89.6227744608	105.884137486	103.82712065	129.0	137.0	126.0	86.0	104.0	103.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
7	1	1143	276	135	-0.000183941159475	0.000959028184773	2.1198003185e-05	8.09078826665e-05	2.42108736146e-05	-1.4096701816e-06	0.111701072128	0.00239757046193	91.8333333333	109.611111111	106.833333333	89.982774252	106.380779692	104.047570796	89.0	108.0	105.5	86.0	104.0	103.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
8	1	1285	270	135	0.00016229316871	0.0104427513453	0.000322638112102	0.000129704446527	7.55549998475e-05	-1.50642553737e-06	0.183041664716	0.00618040385742	121.443877551	134.433673469	126.954081633	91.0879771712	107.63883056	104.705755667	122.0	135.0	128.0	87.0	105.0	103.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
9	1	1418	274	135	0.000165919180205	0.00831157760136	0.000266308160086	0.000125898571243	9.24552383591e-05	-9.72547032483e-07	3.13656610534	0.00133198358996	120.75	132.980769231	125.08974359	90.1729436415	107.079836673	104.081233546	123.0	135.0	126.0	86.0	104.0	103.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
10	1	1556	275	135	-6.99218575512e-05	0.00101230752837	3.05244965632e-05	7.34346291678e-05	0.00035377404829	-1.25882503117e-06	1.97323174936	0.000586072779583	108.315789474	121.894736842	114.421052632	89.5549333333	106.47552	103.307786667	114.0	126.0	115.0	85.0	104.0	102.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
11	1	1698	275	135	-7.49046391233e-05	0.000639352123182	1.88564513508e-05	9.27385014266e-05	0.000178469569647	-8.82914811116e-07	9.42477796077	0.000213117374394	92.5	111.333333333	108.166666667	89.266034014	106.079170443	102.775817028	89.0	108.5	106.5	85.0	103.0	101.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
12	1	1839	275	135	-5.66534811228e-05	0.000532793435985	1.10658437829e-05	7.36650152737e-05	2.20287522163e-05	-8.35090300113e-07	0.0	0.0	114.7	127.0	117.1	89.7373527374	106.682392452	103.32608348	116.0	127.0	117.0	86.0	104.0	102.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
13	1	1969	269	135	-8.59755143202e-06	0.00218445308754	4.91169844111e-05	8.39618481651e-05	2.44852819695e-05	-9.3815244354e-07	0.0	0.0	112.87804878	125.804878049	118.317073171	91.0988893635	107.934750107	104.36688381	119.0	130.0	121.0	86.0	105.0	103.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
14	1	2116	275	135	3.35711301544e-05	0.000905748841174	1.8313953925e-05	7.3945455812e-05	7.61845875531e-06	-5.37247967279e-07	0.0	0.0	91.6470588235	108.176470588	106.294117647	89.3462563993	106.151077218	102.859428328	92.0	108.0	106.0	85.0	103.0	102.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
15	1	2246	270	135	0.000175603622912	0.00250412914913	7.64894556193e-05	0.000105260350003	0.000232096051899	-5.0436516911e-07	16.4060949687	0.000319676061591	95.5106382979	112.042553191	107.957446809	90.5181070398	107.054695011	103.731866254	93.0	109.0	106.0	86.0	104.0	102.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
16	1	2384	266	135	0.00013592656572	0.00399595076989	0.000103519013719	9.80875307455e-05	4.41957863482e-05	-4.04819523138e-07	942.477796077	5.32793435985e-05	119.106666667	129.626666667	119.706666667	91.406333583	107.793516636	104.565796512	122.0	131.0	121.0	87.0	105.0	103.0	DLR00012647	DLR00012647-2009-06-30_14-38-44
