Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	335	275	135	0.00305845443633	0.0842346422292	0.00408836278376	0.000163250176336	0.00101657831113	2.15791005855e-06	1.23178324393	0.00676647663701	133.23655914	133.392789374	115.535104364	84.3330230393	93.5454386781	91.7577379567	115.0	119.0	112.0	83.0	92.0	90.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
2	1	470	278	135	0.158511700461	0.699930736853	0.157671406852	0.00101639967009	0.00798473753466	8.80686997562e-06	1.71783986224	0.0165165965155	145.522874324	149.908959428	132.685011799	88.1882102273	97.0243252841	93.6516335227	155.0	158.0	138.0	85.0	95.0	92.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
3	1	613	278	135	0.143590819868	0.650061271245	0.142775670577	0.000985651826603	0.00808450198839	6.48217289276e-06	0.791953966249	0.0234429111833	147.744037374	152.179411524	134.733054668	91.1714372716	100.792935445	97.012637028	158.0	161.0	141.0	89.0	99.0	96.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
4	1	736	276	135	0.13292677493	0.613405082849	0.131970574465	0.000967421726945	0.00761937390842	5.56146708306e-06	0.59525702588	0.0262667163941	149.517501954	154.260748719	136.712672631	90.5628445424	101.473401323	98.1234840132	160.0	163.0	142.0	88.0	99.0	96.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
5	1	884	281	135	0.149283284025	0.656827747882	0.148875405633	0.000996315862262	0.00637465947265	-4.73401975986e-07	0.501132889517	0.0296233150408	153.598069435	158.514438676	139.661502271	88.3480825959	100.321223413	97.516689955	162.0	166.0	144.0	86.0	98.0	95.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
6	1	1016	275	135	-0.00123472196643	0.0187010496031	0.000640896619569	0.000132607705036	0.000123684736325	-8.57744307364e-06	0.0	0.0	111.809116809	120.518518519	116.222222222	83.9984797481	98.4255076556	97.1915517429	115.0	124.0	119.0	81.0	96.0	96.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
7	1	1143	276	135	0.127685542715	0.590708082476	0.126626765741	0.000958673082272	0.0068522471392	7.2450201618e-06	0.405722113832	0.0312216953487	150.687832597	156.507350952	138.02552539	89.8082530591	102.651523041	99.4697995314	161.0	165.0	144.0	87.0	100.0	98.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
8	1	1285	270	135	0.124665461783	0.610368160264	0.124229324658	0.000909159078911	0.00687913819657	-3.46065212303e-07	0.439998110415	0.0304757845383	148.535527235	154.648481145	136.195443436	92.1083002872	104.509503624	100.042116778	159.0	163.0	142.0	90.0	103.0	99.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
9	1	1418	274	135	0.132243352972	0.623954392882	0.131862593429	0.00094015963419	0.00653320434952	-9.92268727811e-08	0.411529978034	0.0318610474719	150.43232858	156.465374434	137.001963966	90.7081326155	103.276990649	98.7252762822	160.0	164.0	142.0	87.0	101.0	97.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
10	1	1556	275	135	0.141029209138	0.655442484949	0.140497751252	0.000963777795068	0.006738719479	2.39867535437e-06	0.426572254439	0.0320741648463	150.890343034	156.793610795	136.636075435	90.2650378846	102.864079171	98.0346373898	162.0	166.0	143.0	87.0	100.0	96.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
11	1	1698	275	135	-0.00149796334315	0.0036229953647	0.000201874339507	0.000190281863448	0.00121741994405	-7.6126593645e-06	0.561810126086	0.00207789440034	96.8970588235	106.544117647	101.073529412	83.9556708197	98.6209828351	96.4935564943	95.0	106.0	100.5	80.0	96.0	95.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
12	1	1839	275	135	-0.00148422989738	0.00309020192871	0.000169210421528	0.000172902746522	0.00127303894675	-7.60968425254e-06	80.9832772925	0.000159838030795	99.275862069	112.568965517	108.448275862	84.3822884934	99.228101117	96.8714659826	99.5	111.0	109.0	81.0	96.0	95.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
13	1	1969	269	135	0.141911467765	0.643401353295	0.141636576276	0.000955882001693	0.00519911157135	-8.80950644339e-07	0.441913975524	0.0312216953487	154.533289169	159.993954952	138.6548526	91.643358733	104.342297923	99.5502764082	162.0	167.0	143.0	90.0	102.0	98.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
14	1	2116	275	135	0.128941693766	0.624647024349	0.129090181599	0.000911614053326	0.00581850058334	-7.25819551272e-06	0.421804017633	0.0314880920667	149.819856704	155.770044353	135.715114295	86.9565649397	99.9146912704	94.9879347055	159.0	164.0	141.0	84.0	97.0	92.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
15	1	2246	270	135	0.131326503387	0.613351803506	0.131420445429	0.000923145289433	0.00531954795973	-4.17656208958e-06	0.462953134791	0.0297831530716	150.419649062	156.229239055	135.840514246	91.2864820174	103.637040099	98.500206697	159.0	163.0	140.0	90.0	102.0	98.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
16	1	2384	266	135	0.146295847487	0.679364910224	0.145925696954	0.000939259598531	0.00571918289894	7.2410857414e-07	0.561916255326	0.0284511694816	153.09716885	158.754842757	138.419104384	91.9793951479	104.738949817	100.175972084	161.0	165.0	143.0	91.0	103.0	99.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
17	1	2522	275	135	0.00553585941404	0.0334594277798	0.00593312696009	0.000776898382098	0.0101775236244	-3.3537999131e-06	0.28296750496	0.00889765038095	134.202229299	140.694267516	126.275477707	84.4722451905	99.199162119	97.4198225015	139.0	145.0	129.5	81.0	96.0	96.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
18	1	2655	275	135	0.00113686920943	0.00836485694496	0.000737558252162	0.000252624592992	0.00485646827827	5.50328679892e-08	0.41439197363	0.0036762747083	106.229299363	116.127388535	108.522292994	84.1946593596	98.6899312272	97.3426821406	102.0	110.0	105.0	81.0	96.0	96.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
19	1	2794	275	135	-8.57598028848e-05	0.0113485001865	0.00092120614962	0.000203395821777	0.00448937795795	-5.57565318677e-06	0.309473573923	0.00495497895466	104.769953052	114.262910798	106.896713615	83.6081051951	97.4858805777	95.979952576	100.0	109.0	105.0	81.0	95.0	95.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
20	1	2921	275	135	0.140848758378	0.657786776067	0.140326978564	0.000960696797005	0.00785629984635	2.55784200793e-06	0.560744016846	0.0280249347328	149.014336627	154.346832982	136.274177871	86.3088899268	98.1757745602	94.6727385957	160.0	164.0	143.0	84.0	96.0	93.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
21	1	3066	271	135	0.144661950898	0.62363471682	0.143925061132	0.00100897063784	0.00659432039017	5.57926595159e-06	0.617648851288	0.0260003196761	149.596070056	154.414694575	136.024006835	87.544592299	97.9797565119	93.6412797282	158.0	162.0	141.0	84.0	95.0	92.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
22	1	3201	275	135	0.141140355003	0.629335606585	0.140796196915	0.000989606747953	0.00785588248284	-4.23079304813e-07	0.756355291985	0.0236027492141	144.488062987	149.394006095	131.917795462	81.7701595515	91.9334483254	88.0504527814	154.0	158.0	138.0	80.0	91.0	86.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
23	1	3338	272	135	0.162371093297	0.671959081464	0.161891599222	0.00106731485575	0.00720934627806	2.88941002493e-06	1.48217103114	0.0174223453567	144.084998414	148.491991754	130.618775769	84.312489849	92.8837095988	88.6020789345	153.0	156.0	136.0	82.0	91.0	88.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
24	1	3479	275	135	0.00510048453039	0.084660876978	0.00751358447538	0.000161130216702	0.00774590223102	-6.48991481274e-06	1.41006729088	0.00634024188822	121.816236627	126.455003147	114.471994965	80.751338766	89.8332945285	87.7391152503	112.0	116.0	107.0	79.0	88.0	86.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
1	2	334	411	135	0.197546428138	0.769193883531	0.196457230689	0.00115017389074	0.00812324653582	1.46406558504e-05	0.93709035413	0.0234429111833	144.506476415	148.854886749	130.327630394	76.9545244691	87.8118651893	86.0729455217	155.0	158.0	137.0	77.0	88.0	86.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
2	2	470	411	135	0.191115209194	0.801960679844	0.189958971713	0.00115753548232	0.0126363194273	2.00371439822e-05	0.168660022316	0.0564228248708	142.362277438	146.704225352	128.048432102	76.98062954	88.7648641377	86.0349744418	159.0	161.0	138.0	77.0	89.0	86.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
3	2	609	411	135	0.164424018007	0.738345143588	0.16345779773	0.00109020765317	0.012691192072	9.84526202477e-06	0.166077388738	0.0545580478449	141.59517968	146.514071295	128.460961178	78.6249236408	90.9659947058	88.0608837304	158.0	161.0	139.0	78.0	91.0	88.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
4	2	744	405	135	0.17319683919	0.748255101497	0.17260642099	0.00110339359124	0.0111493434117	3.76884450657e-06	0.131381378065	0.0617507592306	146.794218171	151.822700085	132.800555397	79.4283597884	92.3712169312	89.4645502646	162.0	165.0	142.0	79.0	92.0	89.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
5	2	881	411	135	0.16761032608	0.721135915606	0.167139462893	0.0010874439032	0.00965031443179	7.58624154978e-07	0.131798801597	0.0605253343279	147.697968231	153.268932397	133.487846324	79.4247229652	93.2581199847	89.4894917845	161.0	165.0	142.0	79.0	93.0	89.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
6	2	1015	411	135	0.166116408685	0.669881187064	0.166130124018	0.00110552481432	0.00728954566704	-5.97111065586e-06	0.149216905781	0.0548244445628	153.028553249	158.302632625	136.754553408	78.9436733376	93.3589412524	89.938024532	163.0	167.0	143.0	78.0	93.0	90.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
7	2	1145	419	135	0.17094443524	0.715062070435	0.170751128989	0.00108490873632	0.00859975269237	-3.83292513914e-06	0.15326527331	0.0558900314348	150.642426049	156.278444229	135.014156918	79.1974569933	93.5856394914	89.2423335826	162.0	166.0	142.0	79.0	93.0	89.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
8	2	1282	411	135	0.164658099242	0.686344504236	0.164511298765	0.00109178923825	0.00871322856292	-3.27007487764e-06	0.11845792925	0.0622835526666	150.473063189	156.304688713	134.969569943	79.0670969934	93.6038729404	89.349413963	162.0	167.0	142.0	79.0	93.0	89.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
9	2	1428	411	135	0.161630787694	0.694070009057	0.161726771378	0.00106434803229	0.00807150827038	-8.8179130055e-06	0.116185742904	0.0632425808514	148.0796039	154.152682889	133.031549858	78.4078718217	93.0515499826	88.0296064089	160.0	164.0	140.0	78.0	93.0	88.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
10	2	1570	409	135	0.178330125652	0.72667696734	0.178382497196	0.00112558139985	0.00882406782795	-5.97200635026e-06	0.141133205102	0.0587138366455	150.777769631	156.52789794	133.916856074	78.0738791423	92.381871345	87.4783625731	163.0	167.0	141.0	78.0	92.0	88.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
11	2	1702	410	135	0.193339161768	0.750332995897	0.193879451972	0.00112221795742	0.00623784382974	-1.53351529836e-05	0.103124641549	0.069795940114	153.439039977	158.748349073	135.619044238	77.1651728553	91.6788305591	86.9801536492	162.0	166.0	140.0	76.0	91.0	87.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
12	2	1829	418	135	0.18427737081	0.703979966967	0.185025390072	0.00114338823246	0.00648014694094	-1.73741129475e-05	0.13403584924	0.0592999094251	155.738136684	160.950881707	136.753803073	77.2919366451	91.8524118071	86.7622390209	164.0	168.0	142.0	77.0	92.0	87.0	DLR00012647	DLR00012647-2009-07-05_09-32-25
