Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	339	280	135	-0.000558438481327	0.0163567584847	0.00147693888969	0.000305584718599	0.00150531909301	-4.52003434866e-06	0.0093600503164	0.0342053385902	153.358306189	153.977198697	129.074918567	84.7612393024	95.8390748565	93.3135629943	126.0	130.0	120.0	82.0	93.0	92.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
2	1	481	283	135	-0.000412364544069	0.000319676061591	2.08680315247e-05	0.000268402437445	5.58847294174e-05	-1.22608119337e-06	0.523598775598	0.000639352123182	95.6666666667	108.333333333	107.0	82.8070671001	96.2522517721	95.2670148697	97.0	109.0	107.0	81.0	95.0	95.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
3	1	612	280	135	-0.000349664457852	0.0	0.0		0.0	-1.0708677759e-06	0.0	0.0				85.9537002504	100.215461666	99.0561564282				84.0	99.0	98.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
4	1	746	275	135	9.36886861483e-05	0.00522137567265	0.000310046958683	0.00023039477432	1.86069264554e-05	-1.5193564332e-06	0.0656137418193	0.00729927007299	129.846938776	136.918367347	127.265306122	87.9651866531	102.927427561	101.845696535	130.0	137.0	127.0	85.0	101.0	100.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
5	1	883	279	135	-0.000278324443521	0.000372955405189	2.31812037486e-05	0.000242611920121	3.24481168251e-05	-1.60677361315e-06	0.390953752447	0.000799190153977	102.857142857	117.857142857	113.857142857	87.4487261486	103.368297623	102.102174608	102.0	117.0	114.0	85.0	102.0	101.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
6	1	1020	275	135	-0.000207755037033	0.0	0.0		0.0	-1.46952289066e-06	0.0	0.00564761042144				87.863551601	104.396664713	102.903457829				85.0	103.0	102.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
7	1	1150	279	135	-0.000181531900617	0.0	0.0		0.0	-1.41855439971e-06	0.0	0.0				87.5683840375	104.488944536	102.649635036				85.0	102.0	101.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
8	1	1289	274	135	0.000171257468017	5.32793435985e-05	3.78609875018e-06	0.000278671715459	0.0	-1.14591936848e-06	0.155140377955	0.000479514092386	102.0	121.0	119.0	89.0509910486	105.784047315	103.381979966	102.0	121.0	119.0	85.0	103.0	102.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
9	1	1422	273	135	0.000296520148827	0.0	0.0		0.0	-7.60908198096e-07	0.0	0.000213117374394				89.1213703447	105.976184133	103.292769993				85.0	103.0	102.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
10	1	1560	271	135	9.19064067294e-05	0.000426234748788	4.20084709777e-05	0.000317395177774	0.00175473732141	-1.31764557948e-06	0.174532925199	0.00127870424636	109.75	126.5	123.375	89.3967272533	106.152070785	103.216726187	104.5	122.0	119.0	85.0	103.0	101.0	DLR00012709	DLR00012709-2009-06-30_14-36-26
