Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	335	275	135	-0.00532039274647	0.0541850924397	0.00303563570337	0.000158122651669	0.0015117308733	-2.61519069266e-05	0.493036492219	0.00857797431936	155.898721731	154.576204523	130.236971485	87.5282221721	97.2786728256	95.2947836863	162.0	162.0	133.0	85.0	95.0	94.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
2	1	470	278	135	0.10668794032	0.550322340029	0.107710987359	0.000871021276057	0.00677842924445	-1.41762198201e-05	0.600291557756	0.0247748947733	139.840061961	146.663278149	135.920030981	89.9917061611	100.372511848	97.921563981	147.0	153.0	141.0	87.0	98.0	96.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
3	1	613	278	135	0.103401658745	0.541424689648	0.104363455024	0.000855739885456	0.00716372185997	-1.25186079915e-05	0.380918378668	0.0308487399435	142.797677623	149.493800433	138.030801023	93.6158940397	104.691065412	102.226443592	151.0	157.0	144.0	90.0	102.0	101.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
4	1	736	276	135	0.0977052063152	0.52101870105	0.0986397992594	0.000855440424756	0.00713679725283	-1.31027934893e-05	0.465133984761	0.0273855826096	145.078331118	152.163309132	140.33357194	93.5688542825	105.615239155	103.586540601	154.0	160.0	146.0	91.0	103.0	102.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
5	1	884	281	135	0.111850764413	0.551174809526	0.113170950414	0.000900792992008	0.00592050472457	-1.8376867821e-05	0.382475172793	0.0310618573179	150.51358144	157.572837119	144.320927985	91.5264719848	104.806386515	102.897910731	158.0	164.0	149.0	89.0	103.0	101.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
6	1	1016	275	135	-0.00575935473665	0.0112419414993	0.000394783413858	0.00014781029188	0.000103810659134	-2.47352941445e-05	0.0	0.0	123.222748815	129.928909953	124.251184834	87.9011746955	103.153572583	102.295559866	127.0	131.0	125.0	85.0	101.0	101.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
7	1	1143	276	135	0.08989911315	0.486760083116	0.0906195889294	0.000830983323562	0.00633553176532	-1.10460962058e-05	0.327583894302	0.0315413714103	144.836142732	153.700744308	141.237302977	93.2342987647	107.205128205	104.715457282	154.0	162.0	148.0	90.0	105.0	103.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
8	1	1285	270	135	0.0899873635214	0.517981778464	0.0907466052003	0.000777634105735	0.00633151394081	-1.02474889542e-05	0.359441626863	0.0310618573179	143.026023452	152.155317836	139.874099979	95.1901182713	109.072731292	105.629158837	151.0	160.0	146.0	92.0	107.0	104.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
9	1	1418	274	135	0.0988043527155	0.535350844478	0.0997365392012	0.000830987231867	0.00652038846348	-1.21693359521e-05	0.28552635408	0.035430763493	145.528065287	154.581508758	140.939789013	94.312464167	108.367733058	104.60669648	154.0	163.0	147.0	91.0	106.0	103.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
10	1	1556	275	135	0.102894213107	0.553625659332	0.103849314162	0.000854797271455	0.00645488257951	-1.34909964039e-05	0.280736227444	0.0363365123342	145.747088827	154.374073718	140.425560581	93.4168059203	107.532107902	103.679756505	157.0	164.0	148.0	90.0	105.0	102.0	DLR00012647	DLR00012647-2009-07-03_09-18-15
