Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	335	275	135	-0.00731563983977	0.0546113271884	0.00308552084558	0.000161525774155	0.00157116013628	-3.60895306759e-05	0.402001494327	0.00953700250413	155.987317073	155.129756098	131.183414634	87.1390892696	96.8482867448	95.665238954	163.0	163.0	135.0	85.0	95.0	94.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
2	1	470	278	135	0.0585862399689	0.431083169055	0.0603035102328	0.000570716569608	0.00451943316041	-1.71380003976e-05	1.97315113122	0.0120944109969	123.160548758	132.324063775	126.420467186	88.7420865331	99.3411687582	98.2272897546	124.0	134.0	128.0	85.0	97.0	97.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
3	1	613	278	135	0.0603686406029	0.43262827002	0.0618308225417	0.000582779035798	0.00565881894969	-1.50077103589e-05	0.536775783755	0.0232297938089	126.983497537	136.319334975	129.344211823	92.1110902432	103.664757254	102.383885811	130.0	139.0	132.0	89.0	101.0	101.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
4	1	736	276	135	0.0584287305944	0.420267462305	0.0601392740801	0.00060733465768	0.00555080123415	-1.64978786788e-05	0.690078260427	0.0201928712238	130.082150101	139.752789047	132.373225152	92.2315044573	104.816560978	104.070489845	133.0	143.0	135.0	89.0	103.0	102.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
5	1	884	281	135	0.0693724778146	0.458681869039	0.0716845544659	0.000660551277117	0.00484188559858	-2.25081626908e-05	0.463733329128	0.0257339229581	134.205831107	144.207805785	135.789406435	90.5287401575	104.30019685	103.433070866	138.0	148.0	139.0	88.0	103.0	102.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
6	1	1016	275	135	-0.00746416473975	0.0125206457456	0.000382167990451	0.000115252820756	8.31523346107e-05	-3.15989792337e-05	0.0	0.0	121.770212766	129.191489362	124.195744681	87.5530916154	102.801607856	102.822326535	123.0	129.0	125.0	85.0	101.0	101.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
7	1	1143	276	135	0.045838024409	0.359102775854	0.0477307315674	0.000554412553663	0.00419936477573	-1.7362428075e-05	0.548383854481	0.0209387820342	126.999703264	139.14851632	131.386646884	91.7362207997	106.193366032	105.016543354	130.0	142.0	134.0	89.0	104.0	103.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
8	1	1285	270	135	0.0462408793648	0.385209654217	0.0478498633165	0.000501172986033	0.00423406324872	-1.57810420153e-05	0.427510032147	0.0245617773989	126.035684647	138.143706777	130.628492393	93.6159112575	107.895051564	105.900424647	128.0	140.0	132.0	91.0	105.0	104.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
9	1	1418	274	135	0.0579180488071	0.421333049177	0.0594338573775	0.000595176934487	0.00530945820613	-1.56159775405e-05	0.332125232925	0.0291438009484	130.444107233	142.125063227	133.122407688	92.9439278151	107.436515975	105.250437345	134.0	146.0	136.0	90.0	105.0	104.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
10	1	1556	275	135	0.0596215053134	0.428099525814	0.0610333753734	0.000617507262427	0.00408972111689	-1.69515701574e-05	0.360814848026	0.0281847727636	130.926197884	142.435843186	133.044306161	91.8610024222	106.464132663	104.119433576	136.0	148.0	137.0	88.0	103.0	102.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
11	1	1698	275	135	-0.00714658188434	0.000426234748788	1.28853752266e-05	0.000116659369901	9.11057431672e-05	-2.86970747204e-05	0.0	0.0	91.75	108.75	107.75	87.4128777784	103.243270615	102.021907148	92.0	108.5	107.5	84.0	100.0	100.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
12	1	1839	275	135	-0.00666990313369	0.00266396717992	0.000194252662852	0.000244951396978	0.00167113706972	-2.78975446218e-05	2.45436926062	0.000852469497576	104.56	121.36	116.5	87.9424648753	103.984935093	102.424648753	102.0	118.5	114.0	84.0	101.0	101.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
13	1	1969	269	135	0.0706353868159	0.469870531195	0.0722798351074	0.000661523705029	0.00436396628073	-1.73522908566e-05	0.419471992188	0.0273855826096	135.426125411	146.363760063	135.607438485	94.2462311558	108.768241206	105.934874372	141.0	152.0	140.0	91.0	106.0	104.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
14	1	2116	275	135	0.0640294198337	0.451062922905	0.065348150722	0.000621254188147	0.00413906482182	-1.61148325885e-05	0.46367865212	0.0255208055837	132.450271675	143.879872431	134.046066619	90.8916820344	105.589731146	103.208774143	137.0	149.0	138.0	87.0	103.0	101.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
15	1	2246	270	135	0.0657165503219	0.459321221163	0.0674909160283	0.000604073252802	0.00502486500926	-1.73584506963e-05	0.577818864394	0.0230699557781	131.361790976	142.662684143	132.834705951	93.936440678	107.954276705	105.160819866	135.0	146.0	136.0	91.0	106.0	104.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
16	1	2384	266	135	0.0650420665525	0.469018061697	0.0664614684736	0.000593429879111	0.00419773925566	-1.57714178707e-05	0.482135976213	0.0255208055837	131.822333295	143.31920936	134.03271612	94.2531607465	108.618402569	106.283965483	135.0	147.0	137.0	91.0	106.0	104.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
17	1	2522	275	135	-0.00610149870545	0.00223773243114	0.000163093530373	0.000230181950663	0.00189629378398	-2.54966624693e-05	0.58643062867	0.00159838030795	105.976190476	117.19047619	113.023809524	87.7685160464	103.514070593	102.79126395	102.5	113.0	109.5	84.0	101.0	102.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
18	1	2655	275	135	-0.00606839173072	0.000852469497576	3.23488755088e-05	0.000140784558038	0.000257718438647	-2.45053071552e-05	0.0	0.0	93.9375	110.375	110.25	87.4323574895	102.905668426	102.524716045	93.0	110.0	110.0	84.0	100.0	101.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
19	1	2794	275	135	-0.00660221274769	0.00122542490277	3.25012532026e-05	8.50549727769e-05	0.000159059606997	-2.65755609174e-05	0.0	0.0	90.347826087	105.52173913	103.956521739	86.9573242292	101.931025285	101.617198336	89.0	104.0	103.0	84.0	100.0	100.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
20	1	2921	275	135	0.0620704333152	0.439714422718	0.063212950046	0.000610597886145	0.00514349514946	-1.37353528131e-05	0.661349968628	0.021098620065	129.747243427	140.257845632	132.418635648	89.6211487258	103.18086725	101.825884367	134.0	144.0	136.0	87.0	101.0	100.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
21	1	3066	271	135	0.0797786956798	0.49363311844	0.0812179406612	0.000713364405132	0.00677082627679	-1.38319047608e-05	0.524823741969	0.0250945708349	131.891095521	141.456125202	132.776254722	90.3733164983	102.36763468	100.545349327	138.0	147.0	138.0	88.0	100.0	99.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
22	1	3201	275	135	0.0695156018227	0.469817251851	0.0709273630254	0.000640373456296	0.00636736311038	-1.45279161816e-05	0.755409444999	0.0204059885982	125.547629848	135.070991154	127.610002268	85.4597527887	97.1645060798	95.7485679831	130.0	140.0	131.0	83.0	96.0	95.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
23	1	3338	272	135	0.0653372211069	0.454899035644	0.0670728491032	0.000639496760028	0.00496683574519	-1.56185299429e-05	1.10219091372	0.0166231552027	120.04075896	129.397634106	122.881353947	85.8594467794	96.0490665624	94.208386277	124.0	134.0	126.0	83.0	94.0	93.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
24	1	3479	275	135	-0.00844130558107	0.0467259843359	0.00182399620416	0.000126061992406	0.000672189832956	-3.61449265337e-05	3.16596007722	0.00314348127231	133.361459521	137.565564424	124.085518814	83.3461882406	93.1734294657	91.6458752515	117.0	121.0	112.0	81.0	91.0	90.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
1	2	334	411	135	0.0756955875027	0.496243806276	0.0767188944059	0.000667487091665	0.00576366934543	-1.5648012321e-05	0.657235775826	0.0224838829986	119.547670174	129.015138501	122.458020185	79.2066631412	91.310840825	91.1055526177	124.0	133.0	126.0	79.0	91.0	91.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
2	2	470	411	135	0.0973735210376	0.585912941553	0.0968676698814	0.000752810252517	0.00749394224623	-2.15528606991e-06	0.133087026233	0.0542916511269	125.356278985	134.36528144	125.655724288	79.6996911992	93.158517756	93.145393721	132.0	141.0	131.0	79.0	93.0	93.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
3	2	609	411	135	0.0885980021709	0.533113112046	0.0878345458618	0.000721998252169	0.0080070792537	7.66558908393e-07	0.116252870162	0.0554105173424	128.432840296	137.512492504	128.511193284	81.9612005021	96.1179961201	95.9824261098	134.0	143.0	132.0	81.0	96.0	96.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
4	2	744	405	135	0.106078992755	0.600511481699	0.10570676915	0.000811830617154	0.00780614657621	-2.6350391361e-06	0.119430858543	0.0580212051788	134.060154378	143.163694437	133.160944016	83.0596158976	97.7994131768	97.6040277407	143.0	151.0	139.0	83.0	97.0	98.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
5	2	881	411	135	0.0967943166657	0.566093025734	0.096550153879	0.000766571800639	0.00682172588346	-3.05318479143e-06	0.146090850757	0.0509350524802	132.706917647	142.918964706	132.712470588	82.9739685658	98.7588408644	97.9527259332	139.0	150.0	138.0	83.0	98.0	98.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
6	2	1015	411	135	0.0928050456624	0.534818051042	0.0935749059301	0.000781843930324	0.00643905359032	-1.16671335036e-05	0.127156445286	0.0530662262241	134.310619645	144.807631002	133.918708906	82.309930134	98.801969992	98.1046844577	141.0	151.0	139.0	82.0	99.0	98.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
7	2	1145	419	135	0.100567619471	0.572007032873	0.100433242141	0.00078043004543	0.00685638159375	-2.94903081338e-06	0.110491230659	0.0588736746763	134.78288003	145.449236215	133.981836811	82.8293290178	99.3835428856	98.1994273621	141.0	152.0	139.0	83.0	99.0	98.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
8	2	1282	411	135	0.0987429391893	0.54456817092	0.0987274448768	0.000810842223506	0.00675095662943	-4.35809030589e-06	0.0782717407966	0.0682508391497	135.954114079	146.77692985	135.052343215	82.6925596631	99.3296677585	98.0601310248	143.0	154.0	141.0	83.0	99.0	98.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
9	2	1428	411	135	0.089913297764	0.550375619372	0.0899593734283	0.000726110472847	0.00700752659271	-6.33716975785e-06	0.12212170385	0.05493100325	130.285479187	141.725072604	130.765053243	82.2538215428	98.9302050006	97.4675909468	136.0	148.0	136.0	82.0	99.0	97.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
10	2	1570	409	135	0.113674094399	0.577068570515	0.11373028287	0.000892580802569	0.0070196529546	-5.72033626692e-06	0.114558000273	0.0580744845224	139.510202197	149.565414089	136.136183178	81.6984126984	98.2656840514	96.8046107332	148.0	158.0	143.0	81.0	98.0	97.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
11	2	1702	410	135	0.105038690204	0.601843465289	0.105570516939	0.000782186253903	0.00653049807039	-9.67167385388e-06	0.070596323742	0.0755501092227	131.762305241	142.934313031	131.066395184	80.956376288	97.6768366118	96.2361835943	138.0	149.0	136.0	81.0	98.0	96.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
12	2	1829	418	135	0.115885719752	0.571207842719	0.116554270243	0.000909697128553	0.00654858678316	-9.06203158584e-06	0.104213559697	0.0605786136715	141.29810652	151.287193359	137.059509374	80.9686878728	98.0375248509	96.2946073559	149.0	159.0	143.0	81.0	98.0	96.0	DLR00012647	DLR00012647-2009-07-02_23-12-49
