Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	335	275	135	-0.00733565820235	0.0556236347168	0.00312893672198	0.000162865930069	0.00155862125551	-3.57889810165e-05	0.133912675656	0.0166764345463	160.663793103	159.641762452	133.993295019	91.2339069111	101.090098731	98.0667983075	167.5	168.0	137.0	89.0	99.0	96.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
2	1	470	278	135	0.0254857960434	0.310725131866	0.0280181064535	0.000346925072367	0.00216755844479	-1.83988625727e-05	0.633971223382	0.0181149768235	112.772633745	123.682098765	118.337620027	91.4882121048	102.708278581	100.323336168	113.0	124.0	118.0	88.0	100.0	99.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
3	1	613	278	135	0.0282044487059	0.304065213917	0.0303089660829	0.000377595289291	0.00276640025718	-1.50881231769e-05	0.224657458207	0.0301028291331	117.835465218	129.129840547	123.028035746	94.5831419384	106.906905527	104.506124636	117.0	129.0	123.0	91.0	104.0	103.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
4	1	736	276	135	0.027721870833	0.309020192871	0.0301464954277	0.000383990454265	0.00279433537978	-1.84387012388e-05	0.216661562317	0.0309020192871	120.118103448	131.981896552	125.606724138	95.0445678156	108.464415144	106.420695505	121.0	133.0	126.0	92.0	106.0	105.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
5	1	884	281	135	0.0346523995303	0.355692897863	0.0370533234456	0.000403740135337	0.0026066854604	-2.05898724773e-05	0.29641687709	0.0283446107944	122.075194727	134.493259437	127.405332534	93.8451170098	108.344083354	106.316546763	122.0	135.0	128.0	92.0	107.0	105.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
6	1	1016	275	135	-0.00679759259567	0.00873781235015	0.000363172192886	0.000174777706706	9.35966951806e-05	-2.91998343087e-05	0.0	0.0	130.085365854	137.512195122	128.134146341	91.8487503359	107.532115023	106.043106692	133.0	140.0	129.0	89.0	105.0	105.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
7	1	1143	276	135	0.0193722438757	0.248388299856	0.0215902181002	0.000339074759835	0.00180137242672	-1.62917622682e-05	0.827978119229	0.0141723053972	116.574646075	130.892535393	124.267052767	94.8634720352	110.195505777	107.605869427	117.0	131.0	124.0	92.0	108.0	106.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
8	1	1285	270	135	0.0192501630728	0.257658905642	0.0212320521759	0.000304537831102	0.00202089123954	-1.45314038099e-05	0.675232981012	0.0159838030795	117.247932175	131.45802316	124.772332506	96.3449364817	111.667838944	108.314002727	117.0	132.0	125.0	93.0	109.0	107.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
9	1	1418	274	135	0.0270906257069	0.296552826469	0.0288298961987	0.000379364116271	0.00264973793952	-1.45815182402e-05	0.462225460045	0.0207256646598	120.513833992	134.614804168	126.511139059	95.7927743695	111.345981974	107.810043172	121.0	136.0	128.0	92.0	109.0	106.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
10	1	1556	275	135	0.0274581184243	0.310938249241	0.0289256623806	0.000377036459351	0.00188094072009	-1.38114847484e-05	0.627007787913	0.0182215355107	119.689856066	133.52844414	125.47172721	94.7873656538	110.422485116	106.852625068	121.0	135.0	126.0	91.0	107.0	105.0	DLR00012647	DLR00012647-2009-07-02_17-25-30
