Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename
1	1	339	280	135	0.000795672014456	0.0152911716128	0.00145170561025	0.000317286098536	0.00184569574819	1.69337910801e-06	0.00900086692253	0.0337258244978	149.50174216	150.390243902	130.735191638	84.4643977924	95.399361541	95.559733795	123.0	127.0	122.0	82.0	93.0	94.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
2	1	481	283	135	0.00156361339999	0.000159838030795	1.18940395665e-05	0.000287689718681	3.31466866621e-06	5.69818867425e-06	0.589048622548	0.000426234748788	96.3333333333	110.333333333	110.666666667	82.6204838538	95.8844719173	97.7366513908	96.0	110.0	111.0	81.0	95.0	97.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
3	1	612	280	135	0.00141135464073	0.0	0.0		0.0	5.25637045528e-06	0.0	0.0				85.719644094	99.7352016623	101.682561671				84.0	98.0	101.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
4	1	746	275	135	0.00147331262642	0.00676647663701	0.000437964554558	0.000255065031436	3.68966924481e-05	3.06724849651e-06	0.085030053174	0.00729927007299	131.881889764	137.307086614	131.125984252	87.4843364446	102.320137324	104.313002897	132.0	137.0	131.0	85.0	100.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
5	1	883	279	135	0.000842375196146	0.000426234748788	2.60891337021e-05	0.000243164976765	3.44704551062e-05	2.30299915753e-06	0.227961371689	0.00111886621557	101.625	116.625	116.375	86.9886466606	102.698896647	104.706145728	101.5	117.0	116.5	85.0	101.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
6	1	1020	275	135	0.000796412118192	0.0	0.0		0.0	1.69393458684e-06	0.0	0.00655335926261				87.3552666631	103.705578347	105.480419841				85.0	102.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
7	1	1150	279	135	0.000870781792077	0.0	0.0		0.0	2.03719072552e-06	0.0	0.0				87.0997922106	103.781448133	105.317065374				84.0	102.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
8	1	1289	274	135	0.00116201751381	0.000213117374394	1.28048426543e-05	0.000235656386067	1.4387605641e-05	1.64709666847e-06	0.0299021311466	0.00218445308754	114.5	129.0	127.75	88.5343991473	105.106634692	105.85702105	115.0	129.0	128.0	84.0	102.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
9	1	1422	273	135	0.00129374918016	0.0	0.0		0.0	2.08385606037e-06	0.0	0.00527465501625				88.7622675689	105.214555917	105.854014599				84.0	102.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
10	1	1560	271	135	0.00013905585552	0.000319676061591	3.87995424504e-05	0.000419160286883	0.00198112283523	-1.55786687036e-06	0.0471238898038	0.00213117374394	116.166666667	131.166666667	131.5	88.7397004743	105.14816394	105.371742259	113.0	127.0	127.0	84.0	102.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
11	1	1694	275	135	0.000413274932004	0.0	0.0		0.0	3.73596530512e-07	0.0	0.0				88.0496563482	104.66316799	104.949757579				84.0	102.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
12	1	1846	269	135	0.000160664145623	0.0	0.0		0.0	-6.56742092538e-07	0.0	0.000266396717992				89.4046033353	105.760456071	105.592679418				85.0	102.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
13	1	1976	279	135	0.000109379971009	0.000319676061591	2.05104701746e-05	0.000241107705722	4.33171759055e-05	-8.12891377379e-07	1.1780972451	0.000426234748788	110.0	123.5	119.333333333	87.3655065821	104.114267441	104.12887065	109.0	123.5	119.0	84.0	102.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
14	1	2114	279	135	-0.000573954593996	0.0	0.0		0.0	-3.30567020066e-06	0.0	0.0				86.397890138	102.896744632	103.307954606				83.0	100.0	102.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
15	1	2252	272	135	0.000226399771314	0.0	0.0		0.0	-7.40847851647e-07	0.0	5.32793435985e-05				87.8997282753	104.255101497	104.525067931				84.0	101.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
16	1	2384	279	135	-0.00034969978661	0.0	0.0		0.0	-2.86972433174e-06	0.0	0.000266396717992				86.4545260802	103.062869625	104.021418296				83.0	101.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
17	1	2517	269	135	6.35169600165e-05	0.0	0.0		0.0	-1.34854784215e-06	0.0	0.0				88.5425968352	104.631839736	105.46187863				84.0	102.0	104.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
18	1	2659	270	135	-0.000362966569386	0.000266396717992	1.84643576354e-05	0.000269486446302	6.94985347975e-05	-2.83774910942e-06	0.142475857306	0.00111886621557	101.2	120.4	121.4	87.9540076743	103.79545939	104.898422511	99.0	120.0	121.0	84.0	101.0	103.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
19	1	2798	272	135	-0.000255372562146	0.0	0.0		0.0	-2.26451277871e-06	0.0	0.0				86.9444296446	102.572966061	104.054558048				83.0	100.0	102.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
20	1	2934	279	135	-0.000664348404507	0.000106558687197	6.7416077612e-06	0.000248104384451	4.45811918627e-05	-3.865332458e-06	0.174532925199	0.000639352123182	94.5	113.0	112.0	84.8297543561	100.155805403	101.991474397	94.5	113.0	112.0	82.0	98.0	101.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
21	1	3064	271	135	-0.00011009996928	0.000106558687197	6.33346085087e-06	0.000233083777863	4.40752635354e-05	-2.09790702915e-06	1.00530964915	0.000266396717992	93.0	107.0	110.0	85.1657164171	99.1130175308	100.483348431	93.0	107.0	110.0	82.0	97.0	99.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
22	1	3205	279	135	-0.00112998404931	5.32793435985e-05	4.19749516613e-06	0.000308952104992	0.0	-5.53280747865e-06	0.103854302598	0.000586072779583	93.0	109.0	109.0	80.9098465473	94.3604539642	95.7027387042	93.0	109.0	109.0	79.0	93.0	95.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
23	1	3332	271	135	-8.12131153092e-05	0.0	0.0		0.0	-2.23895706349e-06	0.0	0.00069263146678				81.7987106399	93.6825083915	94.3600085247				79.0	91.0	93.0	DLR00012709	DLR00012709-2009-07-01_08-47-57
