97.0	96.0	78.0	115.0	116.0	99.0	8	0.00117214555917	0.000275480517594	DLR00012709-2009-07-01_11-32-39	-0.000172300006327	2	103	1226.5	344.5	3.19339898227e-05	0.000426234748788	135	135
97.0	96.0	78.0	111.0	111.0	95.0	9	0.000532793435985	0.000225223823496	DLR00012709-2009-07-01_11-32-39	0.000399594866741	2	103	1357.5	343.5	9.74926848705e-06	0.000159838030795	135	135
96.0	95.0	77.0	111.0	110.0	96.0	10	0.000266396717992	0.000236919919437	DLR00012709-2009-07-01_11-32-39	-0.000512312042554	2	103	1497.5	344.5	3.21884913721e-06	5.32793435985e-05	135	135
96.0	95.0	77.0	112.5	112.5	94.5	11	0.00111886621557	0.0002430500906	DLR00012709-2009-07-01_11-32-39	-0.000336665661119	2	103	1636.5	344.5	1.3265576407e-05	0.000213117374394	135	135
96.0	95.0	77.0	111.0	112.0	96.0	12	0.000426234748788	0.00024413617302	DLR00012709-2009-07-01_11-32-39	-0.00082430053241	2	103	1771.5	341.5	3.31689083702e-06	5.32793435985e-05	135	135
95.0	95.0	77.0	110.0	110.0	94.0	13	0.00122542490277	0.000224839269775	DLR00012709-2009-07-01_11-32-39	-0.000749631998487	2	103	1900.5	335.5	1.66155171647e-05	0.000266396717992	135	135
95.0	94.0	76.0				14	0.0		DLR00012709-2009-07-01_11-32-39	-0.00130644175943	2	103	2046.5	335.5	0.0	0.0	135	135
95.0	94.0	76.0				15	0.0		DLR00012709-2009-07-01_11-32-39	-0.000890131861906	2	103	2181.5	344.5	0.0	0.0	135	135
95.0	94.0	76.0	114.0	114.5	98.5	16	0.00245084980553	0.000304771410234	DLR00012709-2009-07-01_11-32-39	-0.00116095845216	2	103	2317.5	344.5	5.52631676909e-05	0.000639352123182	135	135
96.0	94.0	76.0				17	0.000106558687197		DLR00012709-2009-07-01_11-32-39	-0.000659754936684	2	103	2458.5	339.5	0.0	0.0	135	135
96.0	94.0	77.0	107.0	107.0	91.0	18	0.0	0.000219850160887	DLR00012709-2009-07-01_11-32-39	0.00226463694038	2	103	2591.5	344.5	2.98693542683e-06	5.32793435985e-05	135	135
95.0	93.0	76.0	110.0	110.0	94.0	19	0.000745910810379	0.00023862934994	DLR00012709-2009-07-01_11-32-39	0.00145829626397	2	103	2730.5	344.5	1.75709866422e-05	0.000266396717992	135	135
94.0	91.0	74.0				20	0.0		DLR00012709-2009-07-01_11-32-39	-0.00311719030522	2	103	2866.5	344.5	0.0	0.0	135	135
94.0	90.0	74.0	105.5	106.5	90.5	21	0.000106558687197	0.000216680673102	DLR00012709-2009-07-01_11-32-39	0.000983415582145	2	103	2998.5	344.5	5.887748057e-06	0.000106558687197	135	135
91.0	87.0	72.0	105.0	105.0	87.0	22	0.00138526293356	0.000239092398714	DLR00012709-2009-07-01_11-32-39	-0.0002484129567	2	103	3137.5	344.5	2.74258486583e-05	0.000372955405189	135	135
88.0	85.0	70.0				23	0.0		DLR00012709-2009-07-01_11-32-39	-0.000114230274813	2	103	3274.5	344.5	0.0	0.0	135	135
